Team,Matches Played,Wins,Draws,Losses,Goals Scored,Goals Conceded,Goals Per Game,Goals Conceded Per Game,Win Rate,Recent Form,Form Score,Attack Rating,Defence Rating,Strength Score,Reliability,Adjusted Strength Score,Elo Rating,Elo Normalised,Stats Normalised,Final Rating
San Marino,77,2.5,8.0,90.0,20.0,245.0,0.26,3.18,0.03,LDLLLLLLLL,1.0,0.18,0.45,19.91,0.794,15.8,826,22.84,11.29,22.26
Maldives,52,22.0,9.0,40.0,55.0,95.0,1.06,1.83,0.42,LLLLLDWLLL,7.0,0.75,0.78,53.03,0.722,38.3,801,21.39,30.19,21.83
Cayman Islands,38,19.0,10.0,30.0,33.0,87.0,0.87,2.29,0.5,LLWDWLLLLL,14.0,0.61,0.62,51.05,0.655,33.45,800,21.33,26.11,21.57
Chagos Islands,5,0.0,0.0,5.0,6.0,31.0,1.2,6.2,0.0,LLLLL,0.0,0.84,0.23,32.1,0.2,6.42,782,20.29,3.41,19.45
British Virgin Islands,39,8.0,12.0,33.0,41.0,97.0,1.05,2.49,0.21,WLWDWWLLLD,24.0,0.74,0.57,63.36,0.661,41.88,743,18.03,33.19,18.79
Tuvalu,14,2.0,1.0,15.0,14.0,76.0,1.0,5.43,0.14,WWLLLLDLLL,14.0,0.7,0.26,42.84,0.412,17.64,756,18.78,12.83,18.48
Laos,41,6.0,9.0,39.0,35.0,101.0,0.85,2.46,0.15,LLLWLLLDDL,10.0,0.6,0.58,45.44,0.672,30.54,734,17.51,23.67,17.82
Samoa,17,13.0,0.0,14.0,28.0,50.0,1.65,2.94,0.76,LLLWWLLLWW,24.0,1.16,0.48,73.43,0.459,33.74,728,17.16,26.36,17.62
Mongolia,39,15.0,5.0,32.0,38.0,85.0,0.97,2.18,0.38,LLLLWLWLLL,9.0,0.68,0.65,49.01,0.661,32.4,725,16.99,25.23,17.4
Guam,26,6.0,2.0,25.0,27.0,70.0,1.04,2.69,0.23,LLWLLWLDLL,14.0,0.73,0.53,51.87,0.565,29.32,705,15.83,22.64,16.17
Bahamas,39,11.0,8.0,38.0,44.0,118.0,1.13,3.03,0.28,LLLLLLLWLD,8.0,0.8,0.47,46.18,0.661,30.53,685,14.67,23.66,15.12
Turks and Caicos Islands,33,15.0,7.0,27.0,38.0,117.0,1.15,3.55,0.45,WDLWLLDDLD,20.0,0.81,0.4,56.43,0.623,35.14,657,13.04,27.53,13.76
Anguilla,40,4.0,8.0,40.0,20.0,144.0,0.5,3.6,0.1,LWLWLLLLLL,12.0,0.35,0.39,34.23,0.667,22.82,646,12.41,17.18,12.65
Tibet,10,0.0,3.0,11.0,16.0,41.0,1.6,4.1,0.0,LLLLDDLLLL,3.0,1.13,0.35,47.4,0.333,15.8,629,11.42,11.29,11.41
Bhutan,28,6.0,3.0,26.0,12.0,80.0,0.43,2.86,0.21,LLLLLLDWLL,5.0,0.3,0.5,29.06,0.583,16.95,622,11.01,12.25,11.07
Cook Islands,10,2.0,0.0,12.0,5.0,33.0,0.5,3.3,0.2,LWLLLLWLLL,12.0,0.35,0.43,35.46,0.333,11.82,622,11.01,7.95,10.86
Brunei,32,16.0,1.0,29.0,27.0,91.0,0.84,2.84,0.5,LLLWLLLDLW,14.0,0.59,0.5,46.85,0.615,28.83,592,9.28,22.23,9.93
Falkland Islands,4,0.0,1.0,5.0,3.0,13.0,0.75,3.25,0.0,DLLL,2.0,0.53,0.44,31.1,0.167,5.18,571,8.06,2.37,7.78
Marshall Islands,2,0.0,0.0,3.0,2.0,7.0,1.0,3.5,0.0,LL,0.0,0.7,0.41,33.3,0.091,3.03,559,7.36,0.56,7.02
Tonga,11,2.0,0.0,14.0,12.0,47.0,1.09,4.27,0.18,LWLLWLLLLL,12.0,0.77,0.33,45.05,0.355,15.99,519,5.04,11.45,5.36
Northern Mariana Islands,9,4.0,4.0,7.0,10.0,36.0,1.11,4.0,0.44,WDLWLLDLL,16.0,0.78,0.36,50.33,0.31,15.62,432,0.0,11.14,0.56
